2457.36,630.46,7,gangs10
2400.84,648.96,13,gangs1
3371.82,1158.04,21,gangs3
3350.47,972.23,27,gangs6
1275.31,1166.65,33,gangs11
151.40,632.42,41,gangs2
969.67,1606.21,48,gangs7
2103.10,1265.04,56,gangs4
1144.03,1949.77,62,gangs1
1459.86,631.53,67,gangs2
1671.21,384.43,73,gangs11
2988.92,130.84,79,gangs4
2578.01,1500.97,86,gangs9
1413.54,558.84,95,gangs9
1220.69,1041.91,100,gangs3
816.81,2424.13,106,gangs8
2747.09,1570.98,114,gangs9
4240.35,993.87,120,gangs2
1295.86,106.49,125,gangs8
2214.17,1033.73,131,gangs1
3373.16,2345.38,137,gangs8
1541.51,310.35,145,gangs6
2004.52,1801.19,153,gangs9
2295.65,1145.26,158,gangs6
2263.41,2161.28,163,gangs1
3125.43,1069.45,170,gangs6
3185.30,116.80,179,gangs0
1715.86,1372.25,185,gangs3
2443.51,636.50,192,gangs7
1293.98,62.25,199,gangs6
3730.33,1316.75,205,gangs10
2093.92,884.13,213,gangs5
2972.56,127.21,219,gangs1
2377.38,2182.77,227,gangs5
3322.73,1126.38,234,gangs11
2108.39,1626.66,241,gangs3
1613.22,293.87,247,gangs7
2401.73,1425.77,255,gangs0
2294.15,2331.98,262,gangs5
2544.16,1296.09,271,gangs1
1103.63,177.26,279,gangs1
2971.17,675.12,286,gangs7
2175.42,989.62,293,gangs0
1989.30,710.97,302,gangs1
1303.31,305.46,308,gangs10
3405.38,1109.51,313,gangs7
1583.26,517.19,320,gangs11
1000.73,1688.78,325,gangs11
2840.49,401.31,333,gangs9
1281.45,1103.99,339,gangs10
2310.41,1127.04,347,gangs10
3580.82,1074.04,354,gangs10
2688.96,910.35,361,gangs5
1249.55,1693.12,370,gangs11
605.56,1513.46,377,gangs11
2201.92,2222.12,385,gangs1
3317.96,1184.74,394,gangs8
2762.12,406.50,399,gangs9
2180.34,1183.95,404,gangs7
1477.95,1178.51,410,gangs0
2937.76,2250.44,418,gangs7
1796.78,742.32,425,gangs7
1660.08,630.72,434,gangs11
1417.78,1405.53,441,gangs4
3441.36,1289.41,447,gangs3
2011.94,779.23,454,gangs5
1453.13,1210.64,461,gangs3
739.46,2250.65,470,gangs10
301.45,1661.02,479,gangs3
1609.55,2939.23,487,gangs1
2360.53,629.42,496,gangs3
1040.06,2196.62,505,gangs0
1645.89,1273.44,514,gangs10
3283.07,1946.33,519,gangs2
950.05,723.84,527,gangs9
1221.34,550.91,534,gangs3
2187.31,820.33,541,gangs5
251.82,1635.96,548,gangs3
1863.56,411.61,557,gangs9
1505.42,1088.93,565,gangs0
1992.90,550.50,570,gangs0
2524.02,979.60,579,gangs1
1002.12,1603.52,586,gangs1
2977.57,1083.00,592,gangs1
1611.29,2860.85,598,gangs9
1920.13,739.08,607,gangs9
2280.41,1993.35,612,gangs11
2406.33,1460.64,621,gangs8
1117.71,1059.04,630,gangs1
2383.19,1237.18,637,gangs1
2879.57,1381.70,645,gangs0
2878.97,1374.47,652,gangs7
3284.81,1163.49,661,gangs2
2259.06,2150.00,667,gangs2
2753.37,2234.44,673,gangs6
2262.97,2142.43,680,gangs8
989.78,2088.80,687,gangs7
1636.89,846.22,693,gangs3
2091.92,1295.21,700,gangs11
1334.22,1447.56,706,gangs9
2719.07,2248.87,712,gangs4
1043.29,2181.51,717,gangs6
1065.68,2014.26,722,gangs2
1454.81,1275.30,729,gangs8
2322.82,786.30,738,gangs1
3362.73,1151.76,744,gangs11
1965.72,1156.32,749,gangs7
1884.26,1039.89,754,gangs8
2070.44,892.97,761,gangs6
1948.29,1155.95,768,gangs10
2781.38,963.56,776,gangs11
2294.55,2081.30,785,gangs0
2720.53,210.39,790,gangs9
1087.51,1968.16,796,gangs2
1438.85,1391.59,805,gangs2
2373.19,1241.93,812,gangs9
2506.49,1564.65,817,gangs9
1917.22,224.90,825,gangs1
854.33,1888.87,830,gangs1
2491.03,1575.05,836,gangs3
2027.75,925.08,845,gangs2
2317.24,664.27,851,gangs8
1667.07,640.90,860,gangs0
1693.57,2529.09,868,gangs9
1747.27,742.26,875,gangs10
3611.14,1240.01,884,gangs7
1936.03,1385.68,893,gangs0
1749.32,1044.69,900,gangs9
1505.41,1345.46,907,gangs2
1139.67,1451.61,913,gangs9
3310.88,369.76,918,gangs10
1259.16,875.75,924,gangs11
2040.36,1824.75,931,gangs3
843.93,1616.62,938,gangs5
2121.95,755.96,945,gangs1
1999.63,764.58,951,gangs10
2295.43,1145.00,958,gangs9
1330.83,309.98,965,gangs6
1127.11,1148.05,973,gangs10
1551.66,1312.87,979,gangs6
1668.23,2450.47,988,gangs9
2171.85,2278.40,993,gangs6
3030.99,2032.75,1001,gangs10
1148.57,866.50,1010,gangs6
1222.41,1737.14,1016,gangs4
1660.85,2427.54,1023,gangs6
2172.70,1308.35,1028,gangs8
610.81,1512.98,1033,gangs6
2215.65,818.88,1038,gangs7
2299.63,1956.13,1043,gangs6
3865.53,1336.21,1048,gangs2
1431.91,1374.91,1053,gangs9
2379.50,1255.80,1058,gangs7
2869.21,1110.42,1065,gangs11
2330.48,1778.81,1071,gangs6
